2026-09-14 00:00:04,79021,<<LIP-SHORT,"-45.73777914,-68.28818321,1.1,1.0"
2026-09-14 00:00:34,79021,<<LIP-SHORT,"-45.73773623,-68.28821540,1.1,1.0"
2026-09-14 00:01:04,79021,<<LIP-SHORT,"-45.73774695,-68.28820467,1.1,1.0"
2026-09-14 00:01:34,79021,<<LIP-SHORT,"-45.73774695,-68.28820467,1.1,1.0"
2026-09-14 00:02:04,79021,<<LIP-SHORT,"-45.73774695,-68.28820467,1.1,1.0"
2026-09-14 00:02:34,79021,<<LIP-SHORT,"-45.73774695,-68.28819394,1.1,1.0"
2026-09-14 00:03:04,79021,<<LIP-SHORT,"-45.73775768,-68.28819394,1.1,1.0"
2026-09-14 00:03:34,79021,<<LIP-SHORT,"-45.73776841,-68.28818321,1.1,1.0"
2026-09-14 00:04:04,79021,<<LIP-SHORT,"-45.73776841,-68.28818321,1.1,1.0"
2026-09-14 00:04:34,79021,<<LIP-SHORT,"-45.73776841,-68.28818321,1.1,1.0"
2026-09-14 00:05:04,79021,<<LIP-SHORT,"-45.73776841,-68.28818321,1.3,1.0"
2026-09-14 00:05:34,79021,<<LIP-SHORT,"-45.73775768,-68.28816175,1.1,1.0"
2026-09-14 00:06:04,79021,<<LIP-SHORT,"-45.73775768,-68.28816175,1.1,1.0"
2026-09-14 00:06:34,79021,<<LIP-SHORT,"-45.73774695,-68.28816175,1.1,1.0"
2026-09-14 00:07:04,79021,<<LIP-SHORT,"-45.73773623,-68.28816175,1.1,1.0"
2026-09-14 00:07:34,79021,<<LIP-SHORT,"-45.73772550,-68.28816175,1.1,1.0"
2026-09-14 00:08:04,79021,<<LIP-SHORT,"-45.73772550,-68.28816175,1.1,1.0"
2026-09-14 00:08:34,79021,<<LIP-SHORT,"-45.73772550,-68.28816175,1.1,1.0"
2026-09-14 00:09:04,79021,<<LIP-SHORT,"-45.73772550,-68.28816175,1.1,1.0"
2026-09-14 00:09:34,79021,<<LIP-SHORT,"-45.73773623,-68.28815103,1.1,1.0"
2026-09-14 00:10:04,79021,<<LIP-SHORT,"-45.73773623,-68.28815103,1.1,1.0"
2026-09-14 00:10:34,79021,<<LIP-SHORT,"-45.73773623,-68.28815103,1.1,1.0"
2026-09-14 00:11:04,79021,<<LIP-SHORT,"-45.73773623,-68.28815103,1.1,1.0"
2026-09-14 00:11:34,79021,<<LIP-SHORT,"-45.73772550,-68.28815103,1.1,1.0"
2026-09-14 00:12:04,79021,<<LIP-SHORT,"-45.73772550,-68.28814030,1.1,1.0"
2026-09-14 00:12:34,79021,<<LIP-SHORT,"-45.73772550,-68.28814030,1.1,1.0"
2026-09-14 00:13:04,79021,<<LIP-SHORT,"-45.73772550,-68.28815103,1.1,1.0"
2026-09-14 00:13:34,79021,<<LIP-SHORT,"-45.73772550,-68.28815103,1.1,1.0"
2026-09-14 00:14:04,79021,<<LIP-SHORT,"-45.73772550,-68.28815103,1.1,1.0"
2026-09-14 00:14:34,79021,<<LIP-SHORT,"-45.73772550,-68.28815103,1.1,1.0"
2026-09-14 00:15:04,79021,<<LIP-SHORT,"-45.73772550,-68.28815103,1.1,1.0"
2026-09-14 00:15:34,79021,<<LIP-SHORT,"-45.73773623,-68.28815103,1.1,1.0"
2026-09-14 00:16:04,79021,<<LIP-SHORT,"-45.73773623,-68.28815103,1.1,1.0"
2026-09-14 00:16:34,79021,<<LIP-SHORT,"-45.73774695,-68.28815103,1.1,1.0"
2026-09-14 00:17:04,79021,<<LIP-SHORT,"-45.73774695,-68.28816175,1.1,1.0"
2026-09-14 00:17:34,79021,<<LIP-SHORT,"-45.73774695,-68.28816175,1.1,1.0"
2026-09-14 00:18:04,79021,<<LIP-SHORT,"-45.73774695,-68.28817248,1.1,1.0"
2026-09-14 00:18:34,79021,<<LIP-SHORT,"-45.73774695,-68.28817248,1.1,1.0"
2026-09-14 00:19:04,79021,<<LIP-SHORT,"-45.73775768,-68.28818321,1.1,1.0"
2026-09-14 00:19:34,79021,<<LIP-SHORT,"-45.73775768,-68.28818321,1.1,1.0"
2026-09-14 00:20:04,79021,<<LIP-SHORT,"-45.73775768,-68.28818321,1.1,1.0"
2026-09-14 00:20:34,79021,<<LIP-SHORT,"-45.73775768,-68.28818321,1.1,1.0"
2026-09-14 00:21:04,79021,<<LIP-SHORT,"-45.73775768,-68.28817248,1.1,1.0"
2026-09-14 00:21:34,79021,<<LIP-SHORT,"-45.73775768,-68.28817248,1.1,1.0"
2026-09-14 00:22:04,79021,<<LIP-SHORT,"-45.73775768,-68.28817248,1.1,1.0"
2026-09-14 00:22:34,79021,<<LIP-SHORT,"-45.73775768,-68.28817248,1.1,1.0"
2026-09-14 00:23:04,79021,<<LIP-SHORT,"-45.73775768,-68.28817248,1.1,1.0"
2026-09-14 00:23:34,79021,<<LIP-SHORT,"-45.73775768,-68.28817248,1.1,1.0"
2026-09-14 00:24:04,79021,<<LIP-SHORT,"-45.73775768,-68.28817248,1.1,1.0"
2026-09-14 00:24:34,79021,<<LIP-SHORT,"-45.73775768,-68.28816175,1.1,1.0"
2026-09-14 00:25:04,79021,<<LIP-SHORT,"-45.73774695,-68.28816175,1.1,1.0"
2026-09-14 00:25:34,79021,<<LIP-SHORT,"-45.73774695,-68.28816175,1.1,1.0"
2026-09-14 00:26:04,79021,<<LIP-SHORT,"-45.73774695,-68.28816175,1.1,1.0"
2026-09-14 00:26:34,79021,<<LIP-SHORT,"-45.73773623,-68.28816175,1.1,1.0"
2026-09-14 00:27:04,79021,<<LIP-SHORT,"-45.73773623,-68.28816175,1.1,1.0"
2026-09-14 00:27:34,79021,<<LIP-SHORT,"-45.73773623,-68.28816175,1.1,1.0"
2026-09-14 00:28:04,79021,<<LIP-SHORT,"-45.73773623,-68.28816175,1.1,1.0"
2026-09-14 00:28:34,79021,<<LIP-SHORT,"-45.73772550,-68.28815103,1.1,1.0"
2026-09-14 00:29:04,79021,<<LIP-SHORT,"-45.73772550,-68.28815103,1.1,1.0"
2026-09-14 00:29:34,79021,<<LIP-SHORT,"-45.73772550,-68.28816175,1.1,1.0"
2026-09-14 00:30:04,79021,<<LIP-SHORT,"-45.73773623,-68.28816175,1.1,1.0"
2026-09-14 00:30:34,79021,<<LIP-SHORT,"-45.73773623,-68.28815103,1.1,1.0"
